id	clean_title	2_way_label
c0gl7r	pd phoenix car thief gets instructions from youtube video	1
c0xdqy	as trump accuses iran he has one problem his own credibility	1
7o9rmx	believers hezbollah	0
bdfxf1	the rise of italian fascism circa	0
26kwdf	my friend midflip	1
2s0xuj	look at this cool iphone case i got the other day	0
bopb6s	this smiling dog	1
64b266	shadow brokers hackers release nsa hacking tools to punish trump for abandoning his base	1
7iqceh	come on	0
5rhizs	really excited drummer	1
3gzxbc	hsa warns against orange juice brand found to contain banned erectile dysfunction drug	1
c82k3s	bird poop that looked like a bird	1
1epbxk	aw is paying to put mini ads in mens beards	1
b36dy1	ukrainian potato chips	1
53b5b5	manhattan explosion leaves hurt nd device probed	1
541v7x	ig nobel win for alpine goat man	1
cyetc3	early space invaders concept art	0
dbmlrp	this pumpkin that looks like a watermelon and shaped like an apple	1
1q3qqr	a tank rolls through the mist	0
crvek0	the sun hitting my orange soda just right	1
1cogkd	while west texas burned its famous czech bakery kept the kolaches coming	1
3pgxkc	creepy deer	0
1z31iu	im not a man windsor woman tries to tell ohip	1
981fm7	which way is up	0
cjruk1	this unexpectedly long table soccer	1
2mqnax	well hello there happy little feller	0
1sxz9w	former gay activist marries woman addresses critics who condemn his new heterosexual lifestyle	1
2lzdnk	romanian town weathering ladybug invasion	1
77i4aq	misery last dance	0
8rz0xv	dynasty anywhere but here	0
awy85j	ice wall irish vale cape breton	1
5czcd8	mfw thinking about applying to grad school is than i did all by myself	0
5wsvai	trump outlines bold vision for nations next mass protests	0
816h68	life feminism ftw scholastic is releasing an empowering book series about historical princesses that blacks out the chapter where they get married at age	0
2j99y7	cdc lays out new plan to counter ebola exposure in us	1
609pxh	oh heeeey	0
21wrzf	heritage vietnam era us navy recruitment poster x	0
8uik9f	texas steel pipe manufacturer becomes casualty of trumps trade war	1
1pquwf	my dash is a hoot	0
6tp3a0	girl killed as car rams pizzeria in village near paris report	1
dklxkb	you guys probably wont believe me but i got two fruit by the footsfeet in one wrapper	1
8vjf6c	banff ditches bigbang canada day fireworks to protect wildlife	1
2up9d1	luckiest cub scout troop ever accidentally hikes to nude beach	1
32dpe0	i love grilled chicken	0
ccmdw5t	photo	0
baw08h	wiggas granted minority status in america	0
2gwfrm	grindr accurately predicting scottish referendum results since	1
7sfgsh	they said what find out what bob dylan clint eastwood peter jackson and more have to say	0
6pnxeu	getting in the shower when suddenly nsfw	0
3oj6q5	jeb bush campaign offers cute mason jars	1
c3j6fr	the ten commandments on how to treat a prostitute when in amsterdam	1
comv5l9	obama really is a lizard person	0
2j9ks6	thailand to invite tourists to experience martial law	1
dj1agv	the cat on the box is the yang to her ying	1
dlqx8j	saw a fellow riding a unicycle when i was walking home from work	1
c14nsp	the last cockpit image gathered from american airlines flight	0
8xmsnm	i know you have more money from fafsa	0
czc2ut	the house used in the film hellraiser was on fire today	1
6zgaac	reporter rescues two dolphins while covering hurricane irma	1
2i59um	naked girl with a green screen nsfw	1
6ww1fz	frogs fcking	0
2zkblp	serbians told dont throw grenades in the trash	1
2ppnc9	watching my friend drink from inside the shot glass	0
1qo82b	facebook leads adopted indiana woman to biological family in hours	1
2srw5t	ballerina	0
5aaegh	adolf hitler appears on the stage of the famous cathedral of light during the nuremberg rally by me	0
7robea	lunaticosiris false	0
b3wkju	the amount of lost id cards and credit cards after st patricks day at the bar i work at	1
cqp1dz	my destroyed leather couch after my cat got on it	0
1mbdac	dj class for babies in brooklyn	1
bosgpo	anyone else see the owl in my friends bathroom	0
b3axr6	shadow of the stairs stopping the snow from melting	1
8latqc	a tortoise yelling at another tortoise	1
40grii	railway tunnel norway	1
8hyzfz	the foxgloves learning to fly	0
ce2jop	border collie in a towel	1
1nyf1b	meanwhile at the presidents cup nsfw	1
8zimge	poland during the combined invasion of both german and russian forces colourized	0
azfynh	the back of this asda receipt today was pink to raise awareness for breast cancer	1
9gpxfm	mina miller offers thomas edison advice on the kinetograph circa	0
850l7j	bridge designer left state voice mail about cracks days before florida international university bridge collapsed	1
4k1xl6	tv meteorologist running on trail rescues baby screech owl	1
8qrj94	find the shark	0
5ll4jw	government of ontario is planning to flee to toronto after donald trump presidency could mean hike in manitoba hydro losses from bipole iii keeyask are going to happen in canada	0
7lmqtv	toddler visiting santa	1
cs40lw	the way the cars made a string out of leaves	1
c4fhbs	this cloud that looks like great britain	1
dlbtzy	an illinois license plate from	1
ciogw5	my washer and dryer ended up with the same amount of time left despite starting at different times	1
9eyhxh	a carving on a mass of tree roots in m shanghai oc	1
bd7e2e	hankook is a tire company from south korea hankook is the anglicization of hangeug which means south korea	1
414yif	obama dog pants go on two legs not four	1
b4ls7p	sun above the tree love the streak it left	1
cur52s	the hat i was wearing made my shadow have a perfectly circular head	1
dag73f	my bell pepper had a tiny bell pepper inside it	1
7h8rtl	children suffering from anxiety and depression will be offered counselling at school under government plans to tackle a widely reported crisis in young peoples mental healthattempt to stop any psychological difficulties deepening into lifelong issues	1
cyfti8	this walle made from bike chains bought on venice beach	1
d6yxb3	giants destroying holland	0
4rjje9	movie plot have inspired mi sources iraqi weapons claim	1
7u9mzf	this cancer survivor	1
